recipe_id,allergy_id
1,1
1,2
2,1
3,1
3,4
5,3
6,3
7,1
7,7
8,1
9,1
9,2
9,7
14,7
15,1
15,2
15,7
15,8
19,1
19,7
20,1
20,3
20,7
21,5
21,7
22,1
22,7
23,6
23,7
23,9
24,1
26,5
26,6
26,7
26,8
29,1
29,2
31,1
31,2
32,1
33,1
34,1
35,1
36,1
37,1
37,7
39,1
39,7
42,1
44,1
44,7
45,1
45,2
45,7
46,1
46,2
46,7
47,1
49,1
50,4
51,4
52,4
53,1
53,2
53,7
53,9
54,1
54,3
54,5
54,7
54,8
55,1
56,1
56,7
58,1
58,2
59,1
59,7
59,9
60,1
60,2
60,7
62,1
63,1
64,1
64,8
65,1
65,7
66,1
66,9
67,5
67,6
67,7
68,1
69,1
70,1
71,1
72,1
73,1
73,2
73,7
74,1
75,1
75,2
76,1
76,2
76,7
79,1
79,2
79,7
80,1
80,7
81,2
81,7
81,9
82,1
83,1
83,7
85,1
85,2
86,1
86,2
86,3
86,7
87,1
87,2
87,3
87,7
88,1
88,2
88,3
88,7
90,1
91,1
92,1
93,1
98,1
99,1
99,7
100,1
100,4
100,7
101,1
103,1
104,1
105,1
106,1
106,2
106,7
107,1
107,7
108,6
108,9
109,9
111,5
111,6
111,7
112,1
114,2
114,3
114,9
115,5
115,6
115,7
115,8
116,1
117,2
117,4
117,5
117,6
117,7
118,1
118,3
119,1
119,3
121,1
121,7
122,9
123,1
124,1
124,9
125,1
126,1
126,7
128,7
130,1
130,2
130,5
130,7
131,1
131,2
131,5
131,6
131,7
132,1
132,2
132,7
133,1
133,7
134,1
134,5
134,7
136,1
136,2
137,1
137,2
138,7
139,2
139,4
139,5
139,7
141,1
142,5
143,2
143,9
144,3
144,5
144,6
144,7
144,8
145,1
145,9
146,1
146,2
147,1
147,2
147,7
147,9
148,3
149,5
149,7
151,1
151,3
151,7
152,6
153,3
153,8
154,1
154,5
154,7
155,1
156,1
156,2
156,7
157,6
157,7
158,9
159,1
159,2
159,7
159,9
161,2
161,7
162,1
163,1
163,2
163,7
163,9
164,1
164,7
165,2
165,7
166,1
166,7
166,9
167,1
170,7
170,9
171,1
171,2
171,7
171,9
172,1
172,2
172,7
173,1
175,1
175,2
175,7
176,7
177,1
177,7
178,1
178,4
179,1
179,2
179,7
180,1
180,2
180,7
180,9
181,1
181,2
181,3
181,7
182,1
182,2
182,7
183,1
185,1
185,7
186,1
186,7
187,5
187,6
187,7
187,8
187,9
188,1
188,7
188,9
189,1
189,7
190,1
191,1
191,2
192,1
192,7
192,9
193,1
194,1
194,2
194,7
195,1
195,2
195,7
196,1
196,7
196,9
197,1
197,2
197,7
198,1
198,2
198,7
200,9
201,1
201,3
202,4
203,1
204,3
204,6
205,7
206,2
206,5
206,6
206,7
207,2
207,4
208,1
208,4
208,7
209,1
209,2
209,7
209,9
210,1
210,3
210,7
211,1
211,7
212,1
212,4
213,1
213,3
213,7
214,3
215,1
215,2
215,7
216,1
216,2
216,7
217,9
218,9
219,1
219,2
219,7
220,1
220,7
221,1
221,2
221,8
222,1
222,2
222,7
222,9
223,2
223,7
223,9
224,1
224,7
224,9
225,1
225,2
225,7
226,1
226,2
226,7
227,1
228,1
229,1
230,1
230,2
230,7
231,1
231,9
232,1
232,2
232,7
232,9
233,1
233,9
234,1
234,7
235,1
235,7
236,7
237,7
237,9
238,1
238,7
239,1
239,2
239,9
240,1
240,2
240,6
240,7
241,1
241,2
241,7
242,1
242,2
242,7
243,1
243,2
243,7
244,1
244,2
244,7
245,1
245,7
246,2
247,1
247,2
247,7
247,9
248,1
251,1
251,2
251,7
252,1
252,7
252,8
253,2
253,7
253,9
254,1
254,2
254,7
254,9
255,1
255,2
255,7
256,1
256,2
256,9
257,1
257,2
257,7
258,1
258,2
258,7
259,1
260,1
260,3
261,1
261,2
261,7
262,1
262,7
263,1
264,1
264,2
264,4
264,7
267,1
267,7
268,2
268,5
268,7
269,1
269,2
269,7
271,6
271,7
272,2
273,1
273,3
273,9
274,1
274,2
274,9
275,1
275,5
275,7
276,1
276,2
276,7
277,2
277,7
277,9
278,1
278,7
279,1
279,7
282,1
282,9
283,1
283,2
283,7
284,1
285,2
285,7
286,1
286,2
287,1
287,7
288,1
288,2
288,7
288,9
290,1
290,4
290,7
291,3
291,4
292,1
292,7
295,3
296,7
297,5
297,6
297,7
298,7
299,1
299,7
299,9
300,2
300,7
302,2
302,7
303,1
303,2
303,7
304,1
305,1
310,1
310,7
311,1
312,1
313,1
313,4
313,7
314,5
314,9
315,3
321,7
322,1
323,1
323,2
323,7
325,1
325,7
326,1
326,2
326,7
330,1
330,2
330,7
331,1
332,1
332,7
333,1
333,3
333,7
333,9
334,6
338,1
338,2
338,7
339,1
339,2
339,7
340,2
340,5
340,6
340,7
341,1
341,2
342,1
342,2
344,1
344,7
345,1
348,1
348,9
349,2
349,9
350,1
350,9
351,1
351,7
354,1
354,7
355,2
356,5
356,6
356,7
357,1
357,2
358,1
358,7
360,9
361,2
361,6
362,9
364,1
364,2
364,7
365,1
365,7
368,1
368,2
369,1
371,1
371,2
371,7
372,1
372,2
372,7
372,9
373,4
374,1
374,2
375,1
375,2
375,7
377,1
378,4
379,1
379,2
380,1
380,6
381,7
384,6
385,5
385,6
385,7
386,1
387,1
387,2
387,7
388,1
388,2
388,7
389,1
389,2
389,7
389,9
390,1
390,2
390,7
393,1
393,9
394,2
394,7
395,1
396,1
396,3
396,9
397,1
398,1
398,2
398,7
399,3
399,5
399,7
401,3
402,3
403,3
404,1
404,3
405,7
405,9
406,1
406,2
406,7
406,9
407,1
407,7
407,9
408,1
408,2
408,7
410,1
410,8
411,1
411,9
413,1
414,2
414,5
414,6
414,7
415,9
416,1
416,2
416,7
416,9
417,3
417,6
417,7
419,1
419,4
419,7
420,1
420,2
420,7
424,2
425,1
426,1
426,7
428,6
428,9
429,1
429,7
430,1
431,3
432,7
433,1
433,9
434,2
434,7
434,9
435,1
435,2
435,3
435,6
435,7
436,1
436,2
439,1
439,9
453,1
453,2
454,1
454,7
454,9
455,9
458,1
459,1
459,7
462,9
463,1
463,2
463,7
464,7
465,6
465,7
466,1
466,2
466,7
467,7
468,9
469,3
469,5
469,6
469,7
472,2
473,1
473,2
473,7
473,9
474,1
474,2
474,8
475,1
475,7
478,1
479,4
480,1
480,7
481,1
481,2
481,7
482,1
483,1
484,1
485,1
486,2
486,7
486,9
487,2
488,1
488,2
488,9
489,1
489,2
489,7
490,3
491,1
491,2
491,7
492,9
493,1
493,2
494,1
494,2
494,3
495,1
495,3
496,1
496,7
497,1
498,9
499,9
500,1
500,7
500,9
501,1
502,2
502,9
504,1
504,2
505,1
505,7
506,2
506,9
507,1
508,1
508,7
508,9
510,2
513,2
515,1
515,2
516,2
516,3
516,4
516,5
516,7
517,1
517,9
518,1
519,1
519,2
521,9
523,1
523,7
524,1
524,5
525,1
525,2
525,9
526,1
526,7
527,1
528,1
528,9
529,1
530,1
530,2
530,7
531,9
533,2
534,3
534,6
534,7
534,8
535,1
536,1
536,6
537,1
537,7
539,5
539,6
539,7
540,1
541,1
541,9
542,7
542,9
543,1
544,1
545,3
546,6
546,8
547,1
547,7
548,1
548,8
549,1
550,1
550,4
551,1
551,2
551,7
552,1
553,1
553,2
555,5
555,6
555,7
557,1
557,7
557,9
558,4
559,5
559,6
560,3
560,4
560,5
560,7
562,2
564,1
565,9
566,9
568,1
569,5
569,7
571,3
572,3
575,9
576,9
577,3
578,1
580,1
580,2
580,7
580,9
581,1
582,1
583,1
586,1
586,4
587,1
587,2
587,3
587,7
588,1
589,1
589,2
589,7
589,9
590,1
590,3
590,7
591,2
591,6
591,9
592,1
592,7
593,1
593,9
597,1
597,2
597,7
597,9
599,3
600,2
601,9
602,1
602,9
604,1
604,7
605,1
605,2
605,7
605,9
606,1
606,2
606,7
607,1
607,2
607,7
608,1
609,1
609,2
610,1
610,2
610,7
611,1
611,3
611,9
613,1
613,2
613,7
614,1
614,2
614,7
615,1
615,2
615,7
615,9
616,1
616,7
617,1
617,2
617,7
617,8
617,9
618,1
619,1
619,2
619,7
620,6
620,9
621,1
621,7
622,1
622,7
622,9
623,9
628,9
629,1
629,7
630,7
631,1
632,1
632,7
632,9
634,1
634,2
634,7
635,7
636,1
636,7
637,1
637,2
637,9
640,1
640,2
640,7
641,1
641,2
641,7
642,1
642,2
642,7
643,2
643,3
644,1
645,2
646,1
647,1
647,3
648,1
648,9
649,1
649,2
649,7
649,9
650,1
650,7
652,1
653,1
654,1
654,7
654,9
656,1
656,2
657,1
657,7
658,1
658,7
659,6
662,1
662,2
662,7
663,1
663,3
663,4
664,3
664,4
665,1
666,6
666,7
667,1
667,9
668,1
668,3
668,7
669,1
669,2
669,7
669,9
670,1
670,2
670,7
671,1
671,2
671,7
672,1
672,7
673,1
673,2
674,1
674,7
676,1
676,2
676,7
676,9
677,7
678,1
678,3
679,1
679,7
680,1
680,7
681,1
683,9
684,1
684,7
685,1
685,6
685,7
686,5
686,6
686,7
688,9
689,1
689,5
689,6
689,7
690,1
690,2
690,4
690,7
692,1
692,7
694,1
694,2
694,7
695,3
696,2
696,3
696,7
697,1
697,5
697,7
699,1
699,7
700,1
701,1
702,1
702,2
702,7
703,1
703,9
705,6
706,1
706,8
707,1
707,2
707,7
710,1
711,1
715,9
717,1
717,2
717,7
718,1
718,2
719,1
720,1
720,7
721,2
721,3
721,9
722,1
723,3
723,5
723,6
723,7
724,1
726,2
728,3
729,8
730,3
730,7
731,7
731,9
732,1
732,7
732,9
733,1
733,7
734,1
734,7
735,1
735,7
737,9
738,6
739,7
739,9
741,3
741,7
741,9
745,1
745,4
745,7
746,1
746,7
750,6
750,7
751,2
751,7
752,1
752,2
752,7
753,1
753,9
754,1
754,2
755,5
755,6
756,2
756,7
757,4
757,5
757,6
757,7
757,8
758,1
758,2
758,7
758,8
759,1
759,9
760,1
760,7
761,1
761,7
762,1
762,3
762,5
762,7
762,8
763,1
763,2
764,1
766,1
766,2
766,7
770,1
770,9
771,1
771,7
772,3
774,1
775,1
776,1
776,3
776,5
776,7
777,1
777,9
779,1
780,1
780,2
780,7
781,1
781,7
782,1
782,2
782,7
783,1
783,2
784,1
784,7
788,1
789,1
789,2
791,1
791,7
791,9
792,4
792,7
794,4
797,1
797,2
797,7
798,1
798,8
799,1
799,2
799,7
800,1
800,6
801,4
802,7
803,3
804,7
804,8
804,9
805,1
805,9
806,2
807,1
807,3
807,7
808,1
808,7
809,1
811,1
811,7
812,2
814,1
814,2
815,1
815,7
816,2
817,4
818,1
818,2
818,7
818,9
819,9
820,7
821,1
821,2
821,7
822,7
822,9
823,1
823,7
824,1
824,2
825,3
825,4
826,1
826,3
827,3
828,3
828,4
828,8
829,1
829,2
829,9
830,1
830,2
830,7
831,1
831,2
831,7
831,9
832,1
833,2
833,3
833,4
833,5
833,7
834,1
835,1
835,3
835,5
835,7
836,1
837,1
838,4
840,1
840,6
841,1
842,1
842,2
844,3
844,7
845,1
845,7
846,7
846,9
847,7
848,1
848,2
848,7
852,1
853,1
853,2
853,9
854,1
854,9
855,1
855,9
856,3
857,1
857,2
859,5
859,6
859,7
861,2
862,1
862,3
862,7
865,1
865,2
865,7
865,9
866,1
869,3
869,7
870,9
871,7
873,1
873,2
873,7
874,1
874,2
874,7
875,1
876,1
877,1
877,2
878,1
878,5
878,7
878,8
879,1
879,2
879,7
880,2
881,2
882,2
882,9
883,2
883,7
883,9
885,1
886,1
886,3
886,4
888,1
888,7
891,1
891,6
891,7
892,1
892,7
893,1
894,7
894,9
895,1
895,2
895,7
896,7
897,4
898,1
899,1
899,2
899,7
900,1
900,2
900,7
900,9
901,1
901,2
901,7
903,1
903,3
904,1
904,2
904,7
905,1
905,2
905,7
907,1
907,2
907,7
908,1
908,7
909,1
909,2
909,7
910,7
911,1
912,1
913,1
913,2
913,7
914,1
914,2
914,7
915,7
916,9
918,5
918,6
918,7
919,5
919,6
919,7
920,1
920,2
920,7
921,1
922,1
922,9
923,1
923,9
924,1
924,2
925,1
925,7
926,1
926,7
928,9
929,1
929,7
930,2
933,1
934,1
934,3
934,7
935,4
935,5
935,6
935,7
936,1
936,2
937,1
937,2
937,7
938,2
938,3
938,5
938,7
939,2
939,5
939,7
942,3
942,4
942,7
943,2
944,1
944,2
944,7
945,7
946,1
946,2
946,9
947,1
947,2
947,7
949,1
950,1
952,1
952,9
953,2
953,4
955,1
955,7
956,3
958,1
958,7
959,1
959,2
959,7
960,1
961,1
961,2
961,9
962,1
963,1
964,1
964,7
965,9
966,1
967,1
967,9
968,1
968,2
968,7
969,1
970,1
970,7
971,1
971,2
971,7
973,1
973,2
973,7
974,1
974,2
974,7
975,1
975,2
975,7
976,1
976,2
976,7
977,1
977,9
978,5
978,7
980,1
980,2
980,7
980,9
981,1
982,1
982,5
983,7
984,3
985,1
986,7
986,9
987,1
987,9
988,1
988,2
988,4
988,9
990,9
992,1
992,6
993,1
994,1
994,3
994,4
994,7
995,1
996,1
996,2
996,7
997,5
