recipe_id,ingredient_id
1,1
1,2
1,3
1,4
1,5
1,6
2,1
2,7
2,8
2,9
2,10
2,11
2,12
3,13
3,1
3,14
3,15
3,16
3,4
3,3
3,17
4,14
4,18
6,19
7,20
8,21
8,19
8,22
9,23
9,19
9,24
10,25
10,26
11,23
11,26
13,21
13,27
14,25
14,19
15,28
15,29
15,1
15,30
15,11
15,10
16,13
16,31
16,32
16,33
16,34
17,14
17,35
17,36
17,37
17,38
17,39
17,40
18,28
18,1
18,19
18,4
18,30
18,3
18,6
19,13
19,19
19,41
19,42
19,3
20,1
20,43
20,44
20,45
20,10
20,46
21,34
22,47
22,1
22,48
22,35
22,36
22,49
22,37
22,41
22,4
22,38
23,13
23,50
23,51
23,44
23,52
23,10
23,38
23,4
23,53
23,12
23,40
25,13
25,54
25,9
25,4
25,10
26,4
26,3
27,55
27,9
28,56
28,57
28,13
28,19
28,58
28,59
28,9
28,3
28,4
28,53
28,60
28,61
28,62
28,63
28,38
28,30
28,64
29,57
29,65
29,13
29,19
29,59
29,38
29,4
29,66
29,3
29,30
29,10
30,13
30,67
30,4
30,19
31,68
31,67
32,13
32,69
32,70
32,19
32,4
32,60
32,3
32,71
33,13
33,51
33,4
33,55
33,3
33,6
34,13
34,28
34,1
34,19
34,4
34,62
34,61
34,30
34,34
35,13
35,51
35,19
35,58
35,72
35,68
35,3
35,18
35,66
35,60
35,17
35,6
35,34
36,13
36,73
36,4
36,42
36,34
37,13
37,19
37,59
37,52
37,4
37,3
38,13
38,52
38,4
38,53
38,62
38,3
38,6
38,34
39,74
39,14
39,34
40,56
40,65
40,51
40,67
40,75
41,13
41,3
41,38
41,76
42,77
42,78
42,26
42,79
42,80
42,27
43,14
43,51
43,43
43,75
43,41
43,4
43,81
43,66
43,40
43,34
44,13
44,62
44,35
45,13
45,19
45,16
45,3
45,4
45,38
45,61
45,60
45,10
45,6
46,82
46,27
46,76
47,13
47,1
47,70
47,14
47,35
47,36
47,58
47,83
47,75
47,68
47,41
47,4
47,37
47,38
47,30
47,40
47,34
48,10
49,27
50,4
50,35
50,66
50,3
51,21
51,84
52,85
52,78
52,77
52,27
53,86
53,87
53,88
53,72
53,34
53,27
54,18
55,1
56,13
56,1
56,19
56,64
56,68
56,4
56,33
56,3
56,17
56,10
56,6
56,89
57,13
57,47
57,35
57,4
57,81
57,34
58,56
58,31
58,90
58,84
58,38
58,4
58,66
58,3
58,91
58,30
59,13
59,69
59,19
59,92
59,38
59,3
59,64
59,71
60,1
60,35
60,36
60,49
60,58
60,37
60,4
60,40
61,82
61,93
61,27
62,94
62,67
62,4
62,81
62,60
63,86
63,10
63,84
64,56
64,13
64,68
64,4
64,33
64,3
64,6
64,64
65,21
65,77
65,27
66,8
66,62
66,27
67,13
67,28
67,38
67,30
68,11
68,95
68,34
69,56
69,73
69,76
70,96
70,13
70,1
70,69
70,51
70,19
70,54
70,5
70,21
70,4
70,60
70,3
70,6
71,13
71,19
72,28
72,1
72,62
72,4
72,30
72,3
73,57
73,19
73,7
73,4
73,3
73,6
74,13
74,19
74,21
74,4
74,3
74,34
75,13
75,19
75,31
75,32
75,76
75,21
75,4
75,61
75,3
75,34
76,13
76,73
76,52
76,53
76,4
76,30
77,27
78,13
78,95
78,53
78,3
78,12
78,46
80,38
80,4
80,60
81,79
81,19
81,78
81,27
82,67
82,52
82,10
82,76
82,3
82,12
82,6
82,34
83,57
83,13
83,28
83,19
83,78
83,4
83,81
83,30
83,3
83,6
84,59
84,97
84,35
85,19
85,26
85,25
85,62
85,98
85,24
85,99
85,100
86,13
86,1
86,51
86,8
86,4
86,42
86,10
87,56
87,53
87,101
87,71
88,13
88,1
88,31
88,74
88,4
88,66
88,3
89,82
90,56
90,13
90,102
90,29
90,1
90,76
90,10
91,82
91,49
91,58
91,26
91,12
92,13
92,1
92,58
92,42
92,3
92,17
92,103
92,12
92,34
93,13
93,1
93,51
93,52
93,10
93,6
93,68
93,4
93,42
93,17
93,12
93,40
94,70
94,51
94,35
94,49
94,36
94,43
94,95
94,26
94,75
94,37
94,4
94,72
94,34
95,13
95,28
95,31
95,9
95,4
95,18
95,62
95,3
95,30
95,10
95,34
96,12
96,40
97,57
97,13
97,26
97,4
97,53
97,3
98,13
98,47
98,1
98,14
98,35
98,36
98,49
98,28
98,84
98,37
98,4
98,30
98,10
98,40
98,34
99,13
99,53
99,4
99,34
100,13
100,1
100,14
100,7
100,35
100,49
100,36
100,16
100,84
100,37
100,30
100,34
101,13
101,28
101,67
101,83
101,4
101,60
101,3
101,30
101,104
101,6
101,34
102,19
102,30
103,56
103,13
103,35
103,51
103,34
104,13
104,58
104,26
104,38
104,4
104,62
104,3
104,6
105,13
105,28
105,1
105,19
105,44
105,61
105,30
105,105
105,10
105,34
106,13
106,28
106,14
106,58
106,38
106,4
106,53
106,30
106,3
106,63
106,6
106,64
107,57
107,13
107,1
107,2
107,5
107,9
107,4
107,62
107,3
107,105
107,10
107,6
108,58
108,3
109,13
109,3
110,13
110,28
110,62
110,4
110,42
110,30
110,6
110,34
111,57
111,88
111,2
111,34
112,13
112,34
112,14
112,51
112,35
112,36
112,2
112,84
112,37
112,41
112,4
112,106
112,38
112,40
112,22
113,82
113,49
113,79
113,21
113,88
113,27
114,56
114,8
114,67
114,3
114,107
114,12
114,34
115,96
115,19
115,79
115,12
115,40
115,27
116,13
116,28
116,1
116,35
116,36
116,2
116,37
116,4
116,61
116,30
116,10
117,13
117,26
117,38
117,61
117,3
117,30
117,12
117,40
118,13
118,28
118,1
118,29
118,5
118,55
118,30
118,3
119,56
119,96
119,13
119,19
119,31
119,9
119,62
119,108
119,3
119,105
119,71
120,14
120,51
120,58
120,75
120,68
120,4
120,40
121,14
121,35
121,36
121,37
121,109
121,21
121,4
121,106
121,105
121,34
122,13
122,1
122,14
123,13
123,1
123,19
123,95
123,9
123,38
123,3
123,6
124,13
124,1
124,70
124,77
124,14
124,35
124,4
124,81
124,66
124,39
124,40
124,34
125,13
125,48
125,51
125,15
125,52
125,41
125,21
125,4
125,42
125,3
125,88
125,17
125,81
125,38
125,10
125,6
126,50
126,14
126,19
126,51
126,32
126,35
126,49
126,36
126,2
126,37
126,41
126,38
126,110
126,34
127,56
127,57
127,13
127,38
127,61
127,3
127,30
127,111
128,21
128,34
129,67
129,95
129,44
129,21
129,12
130,94
130,51
130,35
130,83
130,75
130,41
130,4
130,105
130,10
130,40
130,34
131,13
131,112
131,48
131,51
131,14
131,35
131,36
131,2
131,10
131,37
131,12
131,40
131,34
132,19
132,58
132,78
132,26
132,53
132,62
132,100
133,56
133,19
133,76
133,10
133,108
133,104
133,107
134,49
134,95
134,18
134,72
134,34
135,70
135,51
135,35
135,9
135,83
135,75
135,41
135,4
135,5
135,40
135,34
136,57
136,13
136,28
136,1
136,35
136,36
136,2
136,37
136,4
136,88
136,62
136,30
137,13
137,50
137,7
137,19
137,35
137,2
137,67
137,10
137,68
137,38
137,4
137,42
137,60
137,30
137,17
137,12
137,6
137,34
138,113
138,13
138,29
138,35
138,114
138,76
138,61
138,34
139,57
139,58
139,49
139,3
140,13
140,95
140,115
140,3
141,82
141,19
141,84
141,21
141,27
142,51
142,38
142,4
142,3
142,17
142,6
143,13
143,19
143,43
143,4
143,3
144,13
144,67
144,4
145,28
145,87
145,82
145,30
145,12
145,27
146,82
146,12
146,27
147,13
147,21
147,10
147,34
148,12
148,19
148,116
148,27
150,77
150,27
151,13
151,19
151,7
151,15
151,58
151,4
151,88
151,3
151,117
151,10
151,6
152,113
152,13
152,1
152,70
152,118
152,76
152,119
152,4
152,62
152,81
152,91
152,120
152,6
153,27
154,75
154,21
154,86
155,56
155,13
155,31
155,4
155,30
155,3
155,6
156,13
156,14
156,7
156,15
156,38
156,30
156,3
156,6
157,12
157,27
158,3
158,53
158,76
159,56
159,121
159,31
159,54
159,3
159,105
160,13
160,28
160,19
160,4
160,30
160,3
161,19
162,82
162,116
162,58
162,84
162,21
162,12
162,93
162,27
163,13
163,51
163,7
163,76
163,83
163,75
163,3
163,10
163,34
164,13
164,73
164,76
164,62
164,81
164,10
165,13
165,65
165,122
165,19
165,31
165,54
165,59
165,4
165,33
165,3
165,105
165,10
165,6
165,64
166,13
166,70
166,4
166,97
166,53
166,3
166,55
166,62
166,6
166,34
167,56
167,13
167,1
167,48
167,51
167,8
167,84
167,4
167,3
167,17
167,10
168,13
168,14
168,51
168,35
168,49
168,36
168,58
168,75
168,37
168,38
168,4
168,110
168,40
169,56
169,13
169,44
169,38
169,4
169,62
169,108
169,3
169,34
170,86
170,19
171,13
171,28
171,1
171,19
171,62
171,30
171,6
172,56
172,13
172,31
172,74
172,62
172,108
172,3
172,10
172,64
173,14
173,12
173,19
173,27
174,56
174,11
174,31
174,3
175,56
175,13
175,29
175,31
175,21
176,13
176,28
176,31
176,9
176,4
176,42
176,18
176,3
176,62
176,72
176,30
176,6
176,34
176,46
177,13
177,19
177,58
177,76
177,61
177,3
177,64
178,57
178,13
178,70
178,35
178,114
178,2
178,26
178,4
178,55
178,40
178,34
179,96
179,86
179,82
179,21
179,72
180,112
180,78
180,44
180,30
180,12
181,14
181,44
181,74
181,12
181,40
182,13
182,70
182,35
182,58
182,67
182,9
182,83
182,75
182,17
182,34
183,51
183,43
183,4
183,61
183,17
183,40
184,95
184,44
184,79
184,38
184,27
185,14
185,51
185,35
185,49
185,83
185,75
185,41
185,4
185,38
186,13
186,28
186,1
186,118
186,73
186,52
186,4
186,30
186,5
186,10
186,6
187,96
187,51
187,35
187,49
187,36
187,37
187,21
187,4
187,33
187,40
187,34
188,19
188,38
188,81
188,3
188,10
189,57
189,28
189,90
189,16
189,41
189,4
189,30
189,3
190,56
190,13
190,21
190,4
190,3
190,108
190,60
190,18
191,13
191,65
191,28
191,31
191,32
191,59
191,4
191,81
191,66
191,3
191,30
191,10
191,6
192,13
192,28
192,31
192,90
192,5
192,53
192,30
192,3
192,105
193,13
193,1
193,109
193,62
193,3
194,13
194,19
194,32
194,76
194,4
194,3
194,6
195,112
195,1
195,14
195,51
195,35
195,10
195,83
195,12
195,40
196,19
196,77
196,116
196,78
196,44
196,27
197,8
197,21
197,12
197,26
198,3
199,69
199,19
199,4
199,66
199,3
200,34
200,21
200,26
200,22
201,123
201,82
201,34
201,27
202,82
202,47
202,123
202,21
202,34
203,96
203,13
203,31
203,9
203,21
203,4
203,72
203,12
203,64
203,34
204,21
204,19
204,124
205,79
205,12
205,26
205,27
206,13
206,21
206,10
206,46
207,8
207,21
207,72
207,12
207,40
207,124
207,27
208,72
208,82
208,12
208,27
209,12
209,40
210,77
210,27
211,56
211,13
211,54
211,21
211,4
211,72
211,34
212,13
212,11
212,9
212,31
213,96
213,13
213,26
213,38
213,62
213,30
213,3
213,64
214,95
214,26
214,84
214,120
214,27
215,12
216,56
216,113
216,13
216,70
216,59
216,26
216,76
216,75
216,3
216,4
216,97
216,60
216,61
216,17
217,13
217,28
217,1
217,19
217,125
217,4
217,30
217,3
217,17
217,6
218,13
218,14
218,19
218,51
218,58
218,95
218,41
218,4
218,3
218,34
219,13
219,9
219,68
219,41
219,4
219,42
219,3
219,72
219,6
219,71
220,13
220,65
220,19
220,31
220,126
220,41
220,4
220,66
220,3
220,105
220,103
221,13
221,70
221,51
221,35
221,49
221,2
221,6
221,4
221,66
221,10
221,40
222,13
222,8
222,21
222,10
222,46
223,82
223,21
223,27
224,56
224,58
224,95
224,72
224,107
224,12
224,27
225,95
225,12
225,40
226,38
226,30
227,13
227,19
227,51
227,43
227,127
227,4
227,81
227,10
227,40
228,95
228,127
228,21
228,12
228,46
229,13
229,31
229,58
229,75
229,61
229,3
229,63
229,103
230,95
230,26
230,25
231,86
231,35
232,13
232,65
232,31
232,21
232,4
232,66
232,3
232,10
232,64
232,34
233,113
233,13
233,47
233,1
233,29
233,4
233,55
233,62
233,6
234,126
234,21
234,27
235,126
235,21
235,125
236,13
236,65
236,1
236,35
236,31
236,59
236,4
236,66
236,3
236,10
237,82
237,21
237,27
238,13
238,94
238,1
238,19
238,35
238,38
238,4
238,10
238,6
238,34
239,65
239,35
239,59
239,5
239,21
239,3
239,105
239,101
240,56
240,65
240,103
240,29
240,43
240,61
240,107
241,57
241,28
241,69
241,19
241,38
241,4
241,30
241,3
242,13
242,31
242,90
242,21
242,4
242,3
242,11
243,31
243,3
243,66
243,5
243,10
244,14
244,51
244,43
244,73
244,75
244,41
244,4
244,10
244,40
244,34
245,13
245,19
245,21
245,4
245,3
245,46
246,69
246,51
246,84
246,75
246,4
246,3
246,40
247,77
247,75
247,4
247,110
247,40
248,56
248,29
248,60
248,76
249,13
249,35
249,36
249,58
249,73
249,75
249,37
249,3
249,63
249,40
250,13
250,1
250,4
250,42
250,17
250,34
251,35
252,34
252,26
252,38
252,4
252,17
252,110
252,10
252,6
252,128
253,113
253,38
253,4
253,3
253,10
254,57
254,13
254,19
254,4
254,64
255,13
255,1
255,31
255,54
255,44
255,21
255,4
255,38
255,61
255,3
255,105
256,48
